CHANNEL,LOKASI,TANGGAL,BULAN,TAHUN,KODE_BARANG,KLASIFIKASI_BARANG,WARNA_BARANG,UKURAN_BARANG,BERAT_SATUAN,JUMLAH,BERAT_TOTAL
002,LO000026,04/08/2023 00:00:00,04,2023,MP000284,KD000016,PL000037,SZ000012,3,20,60
002,LO000026,04/08/2023 00:00:00,04,2023,MP000284,KD000016,PL000037,SZ000012,7,8,57
002,LO000026,04/08/2023 00:00:00,04,2023,MP002277,KD000028,PL000037,SZ000009,3,15,46
002,LO000026,04/08/2023 00:00:00,04,2023,MP000294,KD000028,PL000036,SZ000012,2,18,38
002,LO000026,04/08/2023 00:00:00,04,2023,MP000197,KD000028,PL000036,SZ000013,15,5,75
002,LO000026,04/08/2023 00:00:00,04,2023,MP000197,KD000028,PL000036,SZ000013,8,13,104
002,LO000026,04/08/2023 00:00:00,04,2023,MP000197,KD000028,PL000036,SZ000013,7,7,56
002,LO000026,04/08/2023 00:00:00,04,2023,MP002277,KD000028,PL000037,SZ000009,2,20,40
002,LO000026,04/08/2023 00:00:00,04,2023,MP000197,KD000028,PL000036,SZ000013,4,16,67
002,LO000026,04/08/2023 00:00:00,04,2023,MP000197,KD000028,PL000036,SZ000009,3,30,90
002,LO000026,04/08/2023 00:00:00,04,2023,MP000197,KD000028,PL000036,SZ000013,6,6,36
002,LO000026,04/08/2023 00:00:00,04,2023,MP000197,KD000028,PL000036,SZ000013,5,16,85
002,LO000026,04/08/2023 00:00:00,04,2023,MP000197,KD000028,PL000036,SZ000009,2,24,49
002,LO000026,04/11/2023 00:00:00,04,2023,MP000197,KD000016,PL000039,SZ000011,20,1,20
002,LO000026,04/11/2023 00:00:00,04,2023,MP000197,KD000016,PL000039,SZ000013,15,1,15
002,LO000009,02/23/2023 00:00:00,02,2023,MP002175,KD000016,PL000036,SZ000009,2,2,4
002,LO000009,02/23/2023 00:00:00,02,2023,MP002175,KD000028,PL000036,SZ000011,12,5,61
002,LO000009,02/23/2023 00:00:00,02,2023,MP002175,KD000028,PL000036,SZ000011,15,5,76
